ResponseID,MissionUndefinedLikelihood,MisalignedMissionLikelihood,NoSocialImpactLikelihood,LaidOffEmployees,ExpectedSalary3Years,ExpectedSalary5Years
181,No,"Will NOT work for them",3,,"21k to 25k","71k to 90k"
182,No,"Will NOT work for them",7,,"41k to 50k","50k to 70k"
183,Yes,"Will NOT work for them",3,,"16k to 20k","71k to 90k"
184,No,"Will NOT work for them",5,,"16k to 20k","71k to 90k"
185,No,"Will NOT work for them",1,,"41k to 50k","91k to 110k"
186,No,"Will work for them",5,,"41k to 50k","30k to 50k"
187,No,"Will NOT work for them",3,,"31k to 40k","71k to 90k"
188,No,"Will NOT work for them",1,,"21k to 25k","50k to 70k"
189,Yes,"Will NOT work for them",8,,>50k,"131k to 150k"
190,No,"Will NOT work for them",1,,"31k to 40k","71k to 90k"
191,Yes,"Will work for them",6,,"31k to 40k","71k to 90k"
192,Yes,"Will work for them",5,,"31k to 40k","131k to 150k"
193,No,"Will NOT work for them",5,,"16k to 20k","30k to 50k"
194,No,"Will NOT work for them",5,,"41k to 50k","91k to 110k"
195,No,"Will NOT work for them",1,,"21k to 25k","50k to 70k"
196,No,"Will NOT work for them",7,,>50k,">151k"
197,No,"Will NOT work for them",8,,>50k,"131k to 150k"
198,Yes,"Will work for them",6,,"41k to 50k","111k to 130k"
199,Yes,"Will NOT work for them",9,,>50k,">151k"
200,Yes,"Will work for them",8,,"41k to 50k",">151k"
201,Yes,"Will work for them",7,,"26k to 30k","71k to 90k"
202,Yes,"Will work for them",8,,>50k,"131k to 150k"
203,No,"Will NOT work for them",5,,"21k to 25k","50k to 70k"
204,No,"Will NOT work for them",1,,>50k,">151k"
205,No,"Will NOT work for them",3,,>50k,">151k"
206,Yes,"Will work for them",1,,"26k to 30k","50k to 70k"
207,Yes,"Will NOT work for them",3,,"26k to 30k","71k to 90k"
208,Yes,"Will work for them",8,,"16k to 20k","50k to 70k"
209,No,"Will NOT work for them",7,,"31k to 40k","91k to 110k"
210,Yes,"Will NOT work for them",2,,"41k to 50k","131k to 150k"
211,No,"Will NOT work for them",4,,"21k to 25k","91k to 110k"
212,Yes,"Will work for them",2,,>50k,">151k"
213,Yes,"Will work for them",5,,>50k,"131k to 150k"
214,Yes,"Will work for them",10,,"31k to 40k","91k to 110k"
215,Yes,"Will work for them",10,,"11k to 15k","71k to 90k"
216,No,"Will work for them",5,,"26k to 30k","50k to 70k"
217,Yes,"Will work for them",3,,>50k,"131k to 150k"
218,Yes,"Will work for them",10,,"26k to 30k","111k to 130k"
219,Yes,"Will work for them",5,,"16k to 20k","50k to 70k"
220,Yes,"Will NOT work for them",5,,>50k,"131k to 150k"
221,Yes,"Will work for them",4,,"41k to 50k","91k to 110k"
222,No,"Will work for them",10,,"26k to 30k","91k to 110k"
223,No,"Will NOT work for them",8,,"41k to 50k","111k to 130k"
224,Yes,"Will NOT work for them",8,,>50k,">151k"
225,No,"Will NOT work for them",3,,"21k to 25k","71k to 90k"
226,No,"Will NOT work for them",2,,"41k to 50k","91k to 110k"
227,Yes,"Will work for them",8,,"31k to 40k","91k to 110k"
228,Yes,"Will work for them",3,,>50k,">151k"
229,No,"Will NOT work for them",7,,"41k to 50k",">151k"
230,Yes,"Will work for them",10,,"41k to 50k","30k to 50k"
231,No,"Will NOT work for them",7,,>50k,">151k"
232,Yes,"Will work for them",5,,"16k to 20k","50k to 70k"
233,Yes,"Will work for them",4,,"31k to 40k","111k to 130k"
234,No,"Will NOT work for them",7,,>50k,">151k"
235,Yes,"Will work for them",5,,"26k to 30k","71k to 90k"
236,Yes,"Will work for them",5,,>50k,"131k to 150k"
237,Yes,"Will work for them",1,,>50k,"50k to 70k"
238,No,"Will NOT work for them",7,,"31k to 40k","131k to 150k"
239,No,"Will NOT work for them",5,,"41k to 50k",">151k"
240,No,"Will NOT work for them",8,,"26k to 30k","30k to 50k"
241,No,"Will work for them",9,,>50k,">151k"
242,No,"Will NOT work for them",3,,"26k to 30k","91k to 110k"
243,No,"Will NOT work for them",3,,"41k to 50k","111k to 130k"
244,No,"Will NOT work for them",9,,"26k to 30k","71k to 90k"
245,No,"Will NOT work for them",7,,"5K to 10K","50k to 70k"
246,No,"Will NOT work for them",5,,>50k,"111k to 130k"
247,Yes,"Will work for them",10,,>50k,">151k"
248,No,"Will NOT work for them",5,,"31k to 40k","71k to 90k"
249,No,"Will work for them",7,,"31k to 40k",">151k"
250,No,"Will NOT work for them",5,,"26k to 30k","71k to 90k"
251,Yes,"Will work for them",8,,>50k,"111k to 130k"
252,No,"Will NOT work for them",3,,>50k,">151k"
253,No,"Will NOT work for them",6,,"41k to 50k",">151k"
254,Yes,"Will work for them",10,,"21k to 25k","30k to 50k"
255,Yes,"Will work for them",4,,>50k,"111k to 130k"
256,Yes,"Will NOT work for them",10,,"41k to 50k","131k to 150k"
257,No,"Will work for them",3,,"21k to 25k","71k to 90k"
258,Yes,"Will NOT work for them",5,,"21k to 25k","91k to 110k"
259,Yes,"Will work for them",10,,"41k to 50k","131k to 150k"
260,No,"Will NOT work for them",5,,>50k,">151k"
261,Yes,"Will work for them",1,,"16k to 20k","50k to 70k"
262,No,"Will NOT work for them",5,,"41k to 50k","91k to 110k"
263,Yes,"Will work for them",4,,"31k to 40k","111k to 130k"
264,No,"Will NOT work for them",3,,"21k to 25k","71k to 90k"
265,No,"Will NOT work for them",10,,"41k to 50k","131k to 150k"
266,Yes,"Will NOT work for them",2,,>50k,">151k"
267,No,"Will NOT work for them",5,,"41k to 50k","111k to 130k"
268,No,"Will NOT work for them",1,,"41k to 50k",">151k"
269,No,"Will NOT work for them",1,,"31k to 40k",">151k"
270,Yes,"Will NOT work for them",8,,"31k to 40k","111k to 130k"
271,No,"Will NOT work for them",5,,"21k to 25k","50k to 70k"
272,No,"Will NOT work for them",3,,"41k to 50k",">151k"
273,Yes,"Will work for them",9,,"21k to 25k","30k to 50k"
274,Yes,"Will NOT work for them",9,,"31k to 40k","91k to 110k"
275,Yes,"Will NOT work for them",4,,"41k to 50k",">151k"
276,Yes,"Will work for them",5,,"26k to 30k","131k to 150k"
277,No,"Will NOT work for them",1,,"31k to 40k","131k to 150k"
278,Yes,"Will work for them",1,,"16k to 20k","71k to 90k"
279,No,"Will NOT work for them",5,,"41k to 50k",">151k"
280,No,"Will NOT work for them",5,,"41k to 50k","30k to 50k"
281,No,"Will NOT work for them",3,,"41k to 50k","50k to 70k"
282,No,"Will NOT work for them",7,,"26k to 30k","91k to 110k"
283,No,"Will NOT work for them",1,,>50k,">151k"
284,Yes,"Will work for them",4,,"26k to 30k","71k to 90k"
285,No,"Will NOT work for them",6,,"41k to 50k","71k to 90k"
286,Yes,"Will NOT work for them",7,,"31k to 40k","71k to 90k"
287,No,"Will NOT work for them",8,,"26k to 30k","91k to 110k"
288,No,"Will NOT work for them",3,,"21k to 25k","30k to 50k"
289,No,"Will NOT work for them",3,,"31k to 40k","91k to 110k"
290,Yes,"Will work for them",5,,"26k to 30k","30k to 50k"
291,No,"Will NOT work for them",7,,"41k to 50k","91k to 110k"
292,No,"Will NOT work for them",4,,"41k to 50k","91k to 110k"
293,No,"Will NOT work for them",9,,"31k to 40k","71k to 90k"
294,Yes,"Will NOT work for them",3,,"41k to 50k","111k to 130k"
295,Yes,"Will work for them",1,,"41k to 50k","91k to 110k"
296,Yes,"Will work for them",2,,>50k,"91k to 110k"
297,No,"Will NOT work for them",5,,>50k,">151k"
298,No,"Will NOT work for them",1,,"5K to 10K","30k to 50k"
299,Yes,"Will NOT work for them",8,,"31k to 40k","111k to 130k"
300,No,"Will NOT work for them",5,,"41k to 50k","91k to 110k"
301,No,"Will NOT work for them",2,,>50k,"71k to 90k"
302,Yes,"Will NOT work for them",10,,"41k to 50k","71k to 90k"
303,No,"Will NOT work for them",5,,"16k to 20k","71k to 90k"
304,No,"Will NOT work for them",5,,"26k to 30k","91k to 110k"
305,No,"Will NOT work for them",9,,"31k to 40k","91k to 110k"
306,No,"Will NOT work for them",8,,>50k,">151k"
307,No,"Will NOT work for them",5,,"31k to 40k","111k to 130k"
308,No,"Will NOT work for them",5,,"11k to 15k","71k to 90k"
309,No,"Will NOT work for them",2,,"26k to 30k","71k to 90k"
310,No,"Will NOT work for them",5,,"26k to 30k","71k to 90k"
311,No,"Will NOT work for them",5,,"26k to 30k","71k to 90k"
312,No,"Will NOT work for them",8,,"21k to 25k","91k to 110k"
313,Yes,"Will NOT work for them",7,,"26k to 30k","71k to 90k"
314,No,"Will NOT work for them",1,,"31k to 40k","71k to 90k"
315,Yes,"Will work for them",4,,"16k to 20k","71k to 90k"
316,No,"Will NOT work for them",1,,>50k,">151k"
317,Yes,"Will work for them",5,,"26k to 30k","91k to 110k"
318,Yes,"Will NOT work for them",3,,"31k to 40k","71k to 90k"
319,No,"Will work for them",3,,"41k to 50k",">151k"
320,No,"Will NOT work for them",7,,"16k to 20k","50k to 70k"
321,Yes,"Will work for them",6,,"26k to 30k","71k to 90k"
322,No,"Will NOT work for them",6,,"31k to 40k","71k to 90k"
323,Yes,"Will work for them",7,,>50k,"111k to 130k"
324,No,"Will NOT work for them",5,,"21k to 25k","50k to 70k"
325,No,"Will work for them",8,,>50k,"131k to 150k"
326,No,"Will NOT work for them",10,,>50k,">151k"
327,No,"Will NOT work for them",5,,"21k to 25k","71k to 90k"
328,No,"Will NOT work for them",5,,>50k,"131k to 150k"
329,Yes,"Will NOT work for them",5,,"26k to 30k","30k to 50k"
330,No,"Will NOT work for them",1,,"31k to 40k","50k to 70k"
331,No,"Will NOT work for them",6,,"41k to 50k","91k to 110k"
332,No,"Will NOT work for them",1,,>50k,"91k to 110k"
333,No,"Will NOT work for them",5,,"31k to 40k","91k to 110k"
334,No,"Will NOT work for them",5,,"21k to 25k","50k to 70k"
335,No,"Will NOT work for them",5,,>50k,">151k"
336,No,"Will NOT work for them",1,,"21k to 25k","50k to 70k"
337,No,"Will NOT work for them",2,,"41k to 50k","50k to 70k"
338,No,"Will NOT work for them",8,,"26k to 30k","91k to 110k"
339,No,"Will NOT work for them",5,,"41k to 50k","91k to 110k"
340,Yes,"Will work for them",5,,>50k,">151k"
341,No,"Will NOT work for them",8,,>50k,">151k"
342,No,"Will NOT work for them",7,,"11k to 15k","111k to 130k"
343,Yes,"Will NOT work for them",8,,"21k to 25k",">151k"
344,No,"Will NOT work for them",6,,>50k,">151k"
345,No,"Will NOT work for them",10,,"41k to 50k","131k to 150k"
346,No,"Will NOT work for them",4,,>50k,">151k"
347,No,"Will NOT work for them",5,,>50k,">151k"
348,No,"Will work for them",6,,"41k to 50k","71k to 90k"
349,No,"Will NOT work for them",8,,>50k,">151k"
350,No,"Will NOT work for them",4,,"26k to 30k","91k to 110k"
351,No,"Will NOT work for them",1,,"26k to 30k","71k to 90k"
352,No,"Will NOT work for them",7,,"41k to 50k","111k to 130k"
353,No,"Will NOT work for them",1,,"41k to 50k","131k to 150k"
354,Yes,"Will work for them",4,,>50k,">151k"
355,No,"Will NOT work for them",5,,"41k to 50k",">151k"
356,Yes,"Will work for them",6,,"26k to 30k","50k to 70k"
357,No,"Will NOT work for them",5,,"31k to 40k","91k to 110k"
358,No,"Will NOT work for them",6,,"21k to 25k",">151k"
359,No,"Will work for them",8,,"16k to 20k","30k to 50k"
360,No,"Will NOT work for them",4,,>50k,"131k to 150k"
361,No,"Will NOT work for them",8,,>50k,">151k"
362,No,"Will NOT work for them",10,,"26k to 30k","30k to 50k"
363,Yes,"Will NOT work for them",5,,>50k,"91k to 110k"
364,Yes,"Will work for them",2,,"16k to 20k","71k to 90k"
365,No,"Will work for them",9,,"41k to 50k","91k to 110k"
366,No,"Will NOT work for them",6,,>50k,">151k"
367,No,"Will NOT work for them",5,,"21k to 25k","91k to 110k"
368,No,"Will work for them",5,,"41k to 50k","91k to 110k"
369,No,"Will NOT work for them",5,,"41k to 50k","91k to 110k"
370,Yes,"Will NOT work for them",6,,"26k to 30k","50k to 70k"
371,No,"Will NOT work for them",7,,"41k to 50k","91k to 110k"
372,Yes,"Will NOT work for them",7,,"31k to 40k","71k to 90k"
373,No,"Will NOT work for them",1,,"21k to 25k",">151k"
374,No,"Will NOT work for them",2,,>50k,">151k"
375,Yes,"Will work for them",2,,>50k,">151k"
376,No,"Will NOT work for them",10,,"41k to 50k","91k to 110k"
377,Yes,"Will work for them",5,,"31k to 40k","91k to 110k"
378,Yes,"Will NOT work for them",6,,"31k to 40k","131k to 150k"
379,Yes,"Will work for them",10,,"31k to 40k","131k to 150k"
380,Yes,"Will work for them",5,,>50k,">151k"
381,No,"Will NOT work for them",5,,"41k to 50k",">151k"
382,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
383,No,"Will NOT work for them",3,No,"41k to 50k","111k to 130k"
384,No,"Will work for them",5,No,"16k to 20k","50k to 70k"
385,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
386,No,"Will NOT work for them",6,No,"26k to 30k","71k to 90k"
387,No,"Will NOT work for them",1,No,>50k,">151k"
388,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
389,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
390,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
391,No,"Will NOT work for them",5,No,"41k to 50k",">151k"
392,Yes,"Will NOT work for them",5,No,>50k,"91k to 110k"
393,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
394,Yes,"Will NOT work for them",7,"I have NO other choice","41k to 50k",">151k"
395,No,"Will NOT work for them",5,No,"41k to 50k","111k to 130k"
396,No,"Will NOT work for them",4,"I have NO other choice","26k to 30k",">151k"
397,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
398,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
399,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
400,No,"Will NOT work for them",5,"I have NO other choice","31k to 40k","111k to 130k"
401,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
402,No,"Will work for them",8,"I have NO other choice",>50k,"91k to 110k"
403,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
404,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
405,No,"Will NOT work for them",6,"I have NO other choice","41k to 50k","131k to 150k"
406,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
407,Yes,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
408,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
409,No,"Will work for them",7,No,"31k to 40k","131k to 150k"
410,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
411,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
412,Yes,"Will NOT work for them",8,No,"16k to 20k","91k to 110k"
413,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
414,Yes,"Will work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
415,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
416,Yes,"Will work for them",10,"I have NO other choice",>50k,"71k to 90k"
417,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
418,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
419,No,"Will NOT work for them",2,No,"31k to 40k","71k to 90k"
420,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
421,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
422,Yes,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
423,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
424,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
